loggingTime(txt),loggingSample(N),identifierForVendor(txt),deviceID(txt),locationTimestamp_since1970(s),locationLatitude,locationLongitude,locationAltitude,locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),IP_en0(txt),IP_pdp_ip0(txt),deviceOrientation(Z),batteryState(R),batteryLevel(Z),avAudioRecorderPeakPower(dB),avAudioRecorderAveragePower(dB),state(N)
2017-12-03 20:50:25.150 -0700,5596,DC177AC5-2AD5-4A81-A6C2-D7075E6B0E09,my_iOS_device,1512359424.9783,31.7481472995428,-106.48696264262,1145.184,0,5.9765625,3,5,-9999,1512359425.03413,-3.14640808105469,11.5684318542481,-90.0545043945312,21.75758934021,13.605878829956,15,280927.527768625,0.101043701171875,-0.548568725585938,-0.800460815429688,280927.469980625,-0.051117512911308,0.049009887224619,0.043491284813757,280927.494960625,-0.07539537279632,0.129581256961284,0.602777225002697,0.029462540522218,0.055189002305269,0.027816092595458,-0.001206062501296,0.000205752061447,0.010812397114933,XArbitraryCorrectedZVertical,0.298343390226364,0.050618696957827,-0.016708668321371,0.952968955039978,0.10644593834877,-0.566932439804077,-0.816857933998108,-16.5920124053955,4.64278030395508,-119.126037597656,1,280924.480105625,automotive,2,2017-12-03 20:50:22.129 -0700,null,0,0,0,0,null,280924.363414,0,0.2800293,88.29405,0.0.0.0,100.170.178.76,1,2,0.67,0,,
2017-12-03 20:50:25.251 -0700,5597,DC177AC5-2AD5-4A81-A6C2-D7075E6B0E09,my_iOS_device,1512359424.9783,31.7481472995428,-106.48696264262,1145.184,0,5.9765625,3,5,-9999,1512359425.15123,-2.43951797485352,11.5285453796387,-90.4458618164063,21.5733947753906,13.4216833114624,15,280927.625734625,0.106246948242188,-0.570648193359375,-0.796798706054688,280927.569895625,0.047605336065712,0.103540241072864,0.012350942187461,280927.594876625,-0.070486824313618,0.133016873439663,0.607607278837972,0.098944664001465,0.086523115634918,0.043358162045479,-0.008881162852049,-0.000994766829535,-0.008593424223363,XArbitraryCorrectedZVertical,0.300539612770081,0.052858918905258,-0.013679052703083,0.952205181121826,0.108887270092964,-0.570904612541199,-0.813763737678528,-15.8217163085938,4.21416473388672,-119.246704101563,1,280924.480105625,automotive,2,2017-12-03 20:50:22.129 -0700,null,0,0,0,0,null,280924.363414,0,0.2800293,88.29405,0.0.0.0,100.170.178.76,1,2,0.67,0,,
2017-12-03 20:50:25.344 -0700,5598,DC177AC5-2AD5-4A81-A6C2-D7075E6B0E09,my_iOS_device,1512359424.9783,31.7481472995428,-106.48696264262,1145.184,0,5.9765625,3,5,-9999,1512359425.27191,-1.10578536987305,10.8371849060059,-90.3702392578125,21.3861045837402,13.2343950271606,15,280927.723665625,0.119964599609375,-0.569717407226563,-0.795242309570313,280927.669800625,0.060790912938803,0.125762722472921,-0.026981017635811,280927.694782625,-0.072012310671667,0.141076298583173,0.618158333467878,-0.070013329386711,0.006016803439707,0.01414707582444,0.003865237813443,0.009634810499847,0.03670920804143,XArbitraryCorrectedZVertical,0.305645406246185,0.056173596531153,-0.012782559730113,0.950400948524475,0.114588737487793,-0.579535305500031,-0.806850850582123,-14.9532775878906,2.83723068237305,-119.399375915527,1,280924.480105625,automotive,2,2017-12-03 20:50:22.129 -0700,null,0,0,0,0,null,280924.363414,0,0.2800293,88.29405,0.0.0.0,100.170.178.76,1,2,0.67,0,,
2017-12-03 20:50:25.445 -0700,5599,DC177AC5-2AD5-4A81-A6C2-D7075E6B0E09,my_iOS_device,1512359424.9783,31.7481472995428,-106.48696264262,1145.184,0,5.9765625,3,5,-9999,1512359425.39203,-0.398910522460937,10.2654914855957,-90.004150390625,20.7484683990479,12.596757888794,15,280927.821631625,0.121841430664063,-0.556732177734375,-0.7960205078125,280927.769717625,-0.080999778238651,0.227185217846953,0.077855117623486,280927.794698625,-0.065449977863172,0.147312425689723,0.609383419745623,-0.135900318622589,0.114421226084232,0.099284842610359,0.007157779298723,0.014409055933356,0.049477327615023,XArbitraryCorrectedZVertical,0.301322370767593,0.060373365879059,-0.009062457829714,0.951565980911255,0.120359927415848,-0.572361946105957,-0.811119794845581,-13.8306121826172,4.05675888061523,-119.499450683594,1,280924.480105625,automotive,2,2017-12-03 20:50:22.129 -0700,null,0,0,0,0,null,280924.363414,0,0.2800293,88.29405,0.0.0.0,100.170.178.76,1,2,0.67,0,,
2017-12-03 20:50:25.548 -0700,5600,DC177AC5-2AD5-4A81-A6C2-D7075E6B0E09,my_iOS_device,1512359424.9783,31.7481472995428,-106.48696264262,1145.184,0,5.9765625,3,5,-9999,1512359425.51388,0.508026123046875,11.4354591369629,-90.3067626953125,19.9110527038574,11.7593431472778,15,280927.919557625,0.120941162109375,-0.543121337890625,-0.7974853515625,280927.869628625,-0.034725223769652,0.095548893589863,0.033057019662827,280927.894603625,-0.05554710480146,0.147971747427759,0.601528823369006,0.123573184013367,0.074760496616364,0.014694822020829,-0.007906296290457,-0.000411093467847,0.01904447004199,XArbitraryCorrectedZVertical,0.297286570072174,0.062368631362915,-0.004560927394778,0.952738165855408,0.121553756296635,-0.565903604030609,-0.815461695194244,-12.9865579605103,5.33223724365234,-119.544036865234,1,280924.480105625,automotive,2,2017-12-03 20:50:22.129 -0700,null,0,0,0,0,null,280924.363414,0,0.2800293,88.29405,0.0.0.0,100.170.178.76,1,2,0.67,0,,
2017-12-03 20:50:25.636 -0700,5601,DC177AC5-2AD5-4A81-A6C2-D7075E6B0E09,my_iOS_device,1512359424.9783,31.7481472995428,-106.48696264262,1145.184,0,5.9765625,3,5,-9999,1512359425.51388,0.508026123046875,11.4354591369629,-90.3067626953125,19.9110527038574,11.7593431472778,15,280928.017502625,0.119155883789063,-0.564193725585938,-0.788238525390625,280927.969524625,-0.009337841730145,0.05407788277904,0.020339360193262,280927.994494625,-0.054209368868711,0.151173843006822,0.608935943294424,0.04523503407836,0.053987935185433,0.067413911223412,0.002645277651027,0.008793079294264,0.01395077444613,XArbitraryCorrectedZVertical,0.300772309303284,0.06391391158104,-0.003151067532599,0.951546669006348,0.123529650270939,-0.571994960308075,-0.810902059078217,-12.5650701522827,4.47587203979492,-119.624198913574,1,280924.480105625,automotive,2,2017-12-03 20:50:22.129 -0700,null,0,0,0,0,null,280925.372478,0,0.2800293,88.29405,0.0.0.0,100.170.178.76,1,2,0.67,0,,
2017-12-03 20:50:25.744 -0700,5602,DC177AC5-2AD5-4A81-A6C2-D7075E6B0E09,my_iOS_device,1512359424.9783,31.7481472995428,-106.48696264262,1145.184,0,5.9765625,3,5,-9999,1512359425.63325,1.0948600769043,11.8077278137207,-90.7359008789063,19.6349601745606,11.483250617981,15,280928.115406625,0.121810913085938,-0.56689453125,-0.772598266601563,280928.069445625,0.058212973003606,0.142608281632108,0.071221449664207,280928.094436625,-0.048933415564552,0.153491484782223,0.615881676577001,0.047185692936182,0.012673579156399,0.047049190849066,0.004504714626819,0.012660735286772,0.00765661848709,XArbitraryCorrectedZVertical,0.303901821374893,0.06564874202013,-1.32169843709562E-05,0.950438797473908,0.124798253178597,-0.577678442001343,-0.806667864322662,-11.8286533355713,3.79105758666992,-119.722900390625,1,280924.480105625,automotive,2,2017-12-03 20:50:22.129 -0700,null,0,0,0,0,null,280925.372478,0,0.2800293,88.29405,0.0.0.0,100.170.178.76,1,2,0.67,0,,
2017-12-03 20:50:25.834 -0700,5603,DC177AC5-2AD5-4A81-A6C2-D7075E6B0E09,my_iOS_device,1512359424.9783,31.7481472995428,-106.48696264262,1145.184,0,5.9765625,3,5,-9999,1512359425.75395,1.52166748046875,10.6111640930176,-91.1143188476563,19.6094245910645,11.4577140808106,15,280928.213374625,0.118133544921875,-0.583206176757813,-0.804336547851563,280928.169369625,-0.046606916973041,0.115693310391331,0.083174781900919,280928.194350625,-0.038990523216908,0.150654519303777,0.613951624160065,0.033389624208212,0.033903293311596,0.06514684855938,-0.009685048833489,-0.011559828184545,0.021177949383855,XArbitraryCorrectedZVertical,0.302661508321762,0.065850377082825,0.004206319805235,0.950811266899109,0.122676379978657,-0.576101899147034,-0.808119475841522,-11.4235467910767,4.29759979248047,-119.745124816895,1,280924.480105625,automotive,2,2017-12-03 20:50:22.129 -0700,null,0,0,0,0,null,280925.372478,0,0.2800293,88.29405,0.0.0.0,100.170.178.76,1,2,0.67,0,,
2017-12-03 20:50:25.932 -0700,5604,DC177AC5-2AD5-4A81-A6C2-D7075E6B0E09,my_iOS_device,1512359424.9783,31.7481472995428,-106.48696264262,1145.184,0,5.9765625,3,5,-9999,1512359425.87458,2.09517288208008,11.5551338195801,-90.89990234375,19.4581031799316,11.3063936233521,15,280928.311325625,0.131362915039063,-0.56927490234375,-0.803848266601563,280928.269259625,0.013284646465642,0.05715969279248,-0.013632987936225,280928.294257625,-0.0377312783795,0.149038400510022,0.612670650276109,0.016433075070381,0.012874454259873,0.019078968092799,0.000712694891263,0.003353341016918,0.005685830954462,XArbitraryCorrectedZVertical,0.302015244960785,0.065298475325108,0.004511346574873,0.951053380966186,0.12147968262434,-0.575054407119751,-0.809045791625977,-11.5888433456421,4.46972274780273,-119.722938537598,1,280924.480105625,automotive,2,2017-12-03 20:50:22.129 -0700,null,0,0,0,0,null,280925.372478,0,0.2800293,88.29405,0.0.0.0,100.170.178.76,1,2,0.67,0,,
2017-12-03 20:50:26.076 -0700,5605,DC177AC5-2AD5-4A81-A6C2-D7075E6B0E09,my_iOS_device,1512359425.97828,31.7481472995428,-106.48696264262,1145.085,0,2.8125,3,5,-9999,1512359425.99579,2.49529647827148,11.3158226013184,-91.0010375976563,18.3374500274658,10.1857395172119,15,280928.409269625,0.114700317382813,-0.557525634765625,-0.7752685546875,280928.369191625,-0.001417600648249,0.092219409595046,-0.011522699088446,280928.394164625,-0.038099264283639,0.152702029491382,0.61652752316585,0.033687472343445,0.025506107136607,0.003231307025999,-0.008366693742573,0.016163226217032,0.007004528306425,XArbitraryCorrectedZVertical,0.30385035276413,0.066905550658703,0.005040865391493,0.950354278087616,0.124104611575603,-0.578205466270447,-0.806397199630737,-11.1334533691406,3.95395278930664,-119.784286499023,1,280924.480105625,automotive,2,2017-12-03 20:50:22.129 -0700,null,0,0,0,0,null,280925.372478,0,0.2800293,88.29405,0.0.0.0,100.170.178.76,1,2,0.67,0,,
2017-12-03 20:50:26.135 -0700,5606,DC177AC5-2AD5-4A81-A6C2-D7075E6B0E09,my_iOS_device,1512359425.97828,31.7481472995428,-106.48696264262,1145.085,0,2.8125,3,5,-9999,1512359426.11602,2.97543716430664,11.3158302307129,-91.4803466796875,18.3413143157959,10.189603805542,15,280928.507211625,0.141769409179688,-0.574844360351563,-0.787933349609375,280928.469085625,-0.074177025841977,0.059826315991976,-0.015349927890999,280928.494060625,-0.038080759306384,0.153246004466356,0.615136745953196,0.040292248129845,0.024449802935124,-0.0340705960989,0.001798956771381,0.014814381487668,0.01482614222914,XArbitraryCorrectedZVertical,0.303188055753708,0.067195557057858,0.005077586043626,0.950545072555542,0.124665886163711,-0.577070236206055,-0.80712354183197,-11.0629320144653,4.11905288696289,-119.785247802734,1,280924.480105625,automotive,2,2017-12-03 20:50:22.129 -0700,null,0,0,0,0,null,280925.372478,0,0.2800293,88.29405,0.0.0.0,100.170.178.76,1,2,0.67,0,,
2017-12-03 20:50:26.229 -0700,5607,DC177AC5-2AD5-4A81-A6C2-D7075E6B0E09,my_iOS_device,1512359425.97828,31.7481472995428,-106.48696264262,1145.085,0,2.8125,3,5,-9999,1512359426.11602,2.97543716430664,11.3158302307129,-91.4803466796875,18.3413143157959,10.189603805542,15,280928.605102625,0.119781494140625,-0.582916259765625,-0.806167602539063,280928.569022625,-0.082342011428051,-0.012226039932336,0.017494038884622,280928.593981625,-0.038164394673334,0.154463474186398,0.614437484213496,0.02203887142241,0.041477609425783,0.007446717005223,-0.014779093675315,0.01317500974983,-0.004565749317408,XArbitraryCorrectedZVertical,0.30285570025444,0.067775994539261,0.005194677505642,0.95060920715332,0.125710487365723,-0.576498985290527,-0.807369649410248,-10.8847923278809,4.13772201538086,-119.800926208496,1,280924.480105625,automotive,2,2017-12-03 20:50:22.129 -0700,null,0,0,0,0,null,280925.372478,0,0.2800293,88.29405,0.0.0.0,100.170.178.76,1,2,0.67,0,,
2017-12-03 20:50:26.327 -0700,5608,DC177AC5-2AD5-4A81-A6C2-D7075E6B0E09,my_iOS_device,1512359425.97828,31.7481472995428,-106.48696264262,1145.085,0,2.8125,3,5,-9999,1512359426.23872,3.12215042114258,11.4088935852051,-90.8621215820313,18.2917861938477,10.1400766372681,15,280928.703051625,0.1279296875,-0.54364013671875,-0.756988525390625,280928.668930625,0.015430621672028,0.154489708519388,0.104012153218026,280928.693910625,-0.031381728863777,0.159737588070211,0.616491062454902,-0.059901401400566,0.083073981106281,0.205420896410942,0.008283223025501,0.013341138139367,0.040861234068871,XArbitraryCorrectedZVertical,0.303575783967972,0.071269080042839,0.009299408644438,0.950092613697052,0.129778295755386,-0.578175723552704,-0.805524945259094,-9.86241722106934,4.09388732910156,-119.890930175781,1,280924.480105625,automotive,2,2017-12-03 20:50:22.129 -0700,null,0,0,0,0,null,280925.372478,0,0.2800293,88.29405,0.0.0.0,100.170.178.76,1,2,0.67,0,,
2017-12-03 20:50:26.427 -0700,5609,DC177AC5-2AD5-4A81-A6C2-D7075E6B0E09,my_iOS_device,1512359425.97828,31.7481472995428,-106.48696264262,1145.085,0,2.8125,3,5,-9999,1512359426.36418,3.60229110717773,11.5684394836426,-90.7107543945313,17.5838794708252,9.43216896057129,15,280928.800964625,0.2567138671875,-0.664627075195313,-0.898681640625,280928.768825625,-0.949976991390492,1.32490160334181,-0.536390737262277,280928.793827625,-0.036870903836374,0.235115676041293,0.552115398568085,-1.00220608711243,1.05458629131317,-0.801340878009796,0.010138594545424,-0.075394548475742,-0.05868074297905,XArbitraryCorrectedZVertical,0.272717773914337,0.10783739387989,0.014348921366036,0.955923736095428,0.198342233896256,-0.524489462375641,-0.82799220085144,-1.81974601745606,10.8791236877441,-119.859069824219,1,280924.480105625,automotive,2,2017-12-03 20:50:22.129 -0700,null,0,0,0,0,null,280925.372478,0,0.2800293,88.29405,0.0.0.0,100.170.178.76,1,2,0.67,0,,
