loggingTime,loggingSample,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,pedometerStartDate,pedometerNumberofSteps,pedometerDistance,pedometerFloorAscended,pedometerFloorDescended,pedometerEndDate,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure,IP_en0,IP_pdp_ip0,deviceOrientation,state
17:39.3,21,1432693059,31.7660026,-106.4510884,1133.9,0,0,3,5,-9999,1432693059,-18.09061241,205.2933044,-760.2984619,15.434618,7.049273014,-1,86164.11448,0.110916138,-0.734283447,-0.653274536,86164.07598,0.040801226,-0.021020863,-0.020850953,86164.07598,0.210354657,0.150163725,0.840744115,0.043390132,-0.023551475,-0.013539957,-0.002403196,0.020469172,0.000605333,XArbitraryZVertical,0.397512236,0.110825298,0.12601631,0.902120649,0.099769533,-0.745139599,-0.659403563,0,0,0,-1,86148.93704,automotive,2,17:24.3,null,0,0,0,0,null,0,0.00390625,88.53694,0.0.0.0,33.234.95.54,1,0,
17:39.4,22,1432693059,31.7660026,-106.4510884,1133.9,0,0,3,5,-9999,1432693059,-18.89386559,204.703598,-761.6147461,15.4268198,7.041474342,-1,86164.174,0.078186035,-0.735015869,-0.657119751,86164.14607,0.007791078,0.014917431,-0.027487817,86164.14607,0.209289717,0.150423807,0.842670908,0.010379517,0.012384476,-0.020174501,0.00089077,0.003304908,0.016370537,XArbitraryZVertical,0.39843,0.110793117,0.125612356,0.901776001,0.099725686,-0.746423185,-0.657956839,0,0,0,-1,86148.93704,automotive,2,17:24.3,null,0,0,0,0,null,0,0.00390625,88.53694,0.0.0.0,33.234.95.54,1,0,
17:39.5,23,1432693059,31.7660026,-106.4510884,1133.9,0,0,3,5,-9999,1432693059,-18.57954788,203.9751282,-761.5135498,15.42405033,7.038704872,-1,86164.23353,0.100646973,-0.733596802,-0.640075684,86164.21616,0.009676862,-0.01901497,-0.003142264,86164.18111,0.208693394,0.150440642,0.84343462,0.018483313,-0.024757117,0.016986482,-0.021465262,0.011915335,0.000271605,XArbitraryZVertical,0.39880874,0.110706418,0.125356644,0.901654806,0.099651299,-0.746931195,-0.657391369,0,0,0,-1,86148.93704,automotive,2,17:24.3,null,0,0,0,0,null,0,0.00390625,88.53694,0.0.0.0,33.234.95.54,1,0,
17:39.5,24,1432693059,31.7660026,-106.4510884,1133.9,0,0,3,5,-9999,1432693060,-17.81122208,203.9751282,-760.838501,15.41640186,7.031056404,-1,86164.29307,0.115692139,-0.735961914,-0.636764526,86164.25121,0.027118437,-0.013592242,-0.033738789,86164.25121,0.207327217,0.151543324,0.844427611,0.029704828,-0.016124813,-0.02642639,0.018876513,0.010271131,0.018440254,XArbitraryZVertical,0.399266248,0.110962545,0.12497373,0.901473984,0.10026411,-0.747591078,-0.656547546,0,0,0,-1,86148.93704,automotive,2,17:24.3,null,0,0,0,0,null,0,0.00390625,88.53694,0.0.0.0,33.234.95.54,1,0,
17:39.6,25,1432693059,31.7660026,-106.4510884,1133.9,0,0,3,5,-9999,1432693060,-18.16046524,204.252655,-760.6360474,15.41205025,7.026704788,-1,86164.35261,0.092529297,-0.731292725,-0.659408569,86164.3213,0.020037358,-0.006368683,0.015091868,86164.3213,0.207317748,0.150157941,0.846561624,0.022625742,-0.008902581,0.022405956,-0.019464681,0.00869603,0.012391462,XArbitraryZVertical,0.400321764,0.110403929,0.124720292,0.901109487,0.099115558,-0.749006689,-0.655106902,0,0,0,-1,86148.93704,automotive,2,17:24.3,null,0,0,0,0,null,0,0.00390625,88.53694,0.0.0.0,33.234.95.54,1,0,
17:39.7,26,1432693059,31.7660026,-106.4510884,1133.9,0,0,3,5,-9999,1432693060,-18.85894203,203.4200897,-760.9735718,15.40292645,7.017580986,-1,86164.41214,0.086242676,-0.745147705,-0.641143799,86164.39138,-0.028456409,-0.044430049,-0.012183163,86164.35634,0.207161056,0.150012563,0.846774227,-0.016842714,-0.048145533,0.035614472,-0.006467224,0.017854819,-0.004444719,XArbitraryZVertical,0.400435937,0.110313801,0.124623314,0.901083212,0.09899652,-0.749147534,-0.654963851,0,0,0,-1,86148.93704,automotive,2,17:24.3,null,0,0,0,0,null,0,0.00390625,88.53694,0.0.0.0,33.234.95.54,1,0,
17:39.7,27,1432693059,31.7660026,-106.4510884,1133.9,0,0,3,5,-9999,1432693060,-18.71924782,203.83638,-760.7036133,15.39844036,7.013094902,-1,86164.47168,0.117797852,-0.739639282,-0.645095825,86164.46148,0.028687838,0.040254745,-0.00377077,86164.42643,0.20737304,0.147961874,0.844677135,-0.01070306,0.01134895,-0.03530797,0.006668646,0.008331118,0.016474377,XArbitraryZVertical,0.399600169,0.109365216,0.124282301,0.901616805,0.097884573,-0.747756779,-0.656717896,0,0,0,-1,86148.93704,automotive,2,17:24.3,null,0,0,0,0,null,0,-0.0291748,88.5373,0.0.0.0,33.234.95.54,1,0,
17:39.8,28,1432693059,31.7660026,-106.4510884,1133.9,0,0,3,5,-9999,1432693060,-18.54462624,203.6629333,-760.6697998,15.39053726,7.00519228,-1,86164.53121,0.090759277,-0.73059082,-0.650680542,86164.4965,-0.001357413,-0.005368933,0.022283468,86164.4965,0.207937411,0.147106878,0.846322337,0.001225151,-0.007896046,0.029598171,-0.022023579,0.011985952,-0.000254466,XArbitraryZVertical,0.400369183,0.109145517,0.124385794,0.901287938,0.0971426,-0.74884814,-0.65558356,0,0,0,-1,86148.93704,automotive,2,17:24.3,null,0,0,0,0,null,0,-0.0291748,88.5373,0.0.0.0,33.234.95.54,1,0,
17:39.8,29,1432693059,31.7660026,-106.4510884,1133.9,0,0,3,5,-9999,1432693060,-18.68432045,203.6629333,-760.8723755,15.38651466,7.001168728,-1,86164.59075,0.086791992,-0.742385864,-0.640518188,86164.5666,0.026100843,0.006530604,-0.041118675,86164.5666,0.206268236,0.149066565,0.846600125,0.028687336,0.004006488,-0.033806726,0.019310048,0.017663188,0.027485374,XArbitraryZVertical,0.400464855,0.109703282,0.124029399,0.901226829,0.098396249,-0.749032199,-0.655186176,0,0,0,-1,86148.93704,automotive,2,17:24.3,null,0,0,0,0,null,0,-0.0291748,88.5373,0.0.0.0,33.234.95.54,1,0,
17:39.9,30,1432693059,31.7660026,-106.4510884,1133.9,0,0,3,5,-9999,1432693060,-18.82401657,204.0098267,-759.994812,15.3741436,6.988797665,-1,86164.65027,0.11479187,-0.740310669,-0.642578125,86164.6367,-0.026690733,0.002057026,0.005007542,86164.60165,0.205583338,0.149908877,0.846913654,0.010454611,0.048403163,-0.032799844,0.014337723,0.009432766,0.02312644,XArbitraryZVertical,0.400592523,0.109955529,0.123893487,0.901158042,0.098913006,-0.749239922,-0.654870808,0,0,0,-1,86148.93704,automotive,2,17:24.3,null,0,0,0,0,null,0,-0.0291748,88.5373,0.0.0.0,33.234.95.54,1,0,
